AÑO,MUNICIPIO,TIPO DE EXPLOTACION,PRODUCCION POR VACA (LITROS/DIA),VACAS PARA ORDEÑO,TOTAL LITROS/DÍA
2017,ALMEIDA,LECHERIA ESPECIALIZADA,,,0
2017,ALMEIDA,LECHERIA TRADICIONAL,6,110,660
2017,ALMEIDA,DOBLE PROPOSITO,4,495,1980
2017,AQUITANIA,LECHERIA ESPECIALIZADA,,,0
2017,AQUITANIA,LECHERIA TRADICIONAL,,,0
2017,AQUITANIA,DOBLE PROPOSITO,6,4229,25374
2017,ARCABUCO,LECHERIA ESPECIALIZADA,12,480,5760
2017,ARCABUCO,LECHERIA TRADICIONAL,8,610,4880
2017,ARCABUCO,DOBLE PROPOSITO,10,1340,13400
2017,BELEN,LECHERIA ESPECIALIZADA,15,1800,27000
2017,BELEN,LECHERIA TRADICIONAL,6,1100,6600
2017,BELEN,DOBLE PROPOSITO,10,3000,30000
2017,BERBEO,LECHERIA ESPECIALIZADA,,,0
2017,BERBEO,LECHERIA TRADICIONAL,4,95,380
2017,BERBEO,DOBLE PROPOSITO,5,60,300
2017,BETEITIVA,LECHERIA ESPECIALIZADA,,,0
2017,BETEITIVA,LECHERIA TRADICIONAL,,,0
2017,BETEITIVA,DOBLE PROPOSITO,4,1200,4200
2017,BOAVITA,LECHERIA ESPECIALIZADA,8,100,800
2017,BOAVITA,LECHERIA TRADICIONAL,4,280,1120
2017,BOAVITA,DOBLE PROPOSITO,6,450,2700
2017,BOYACA,LECHERIA ESPECIALIZADA,10,23,230
2017,BOYACA,LECHERIA TRADICIONAL,,,0
2017,BOYACA,DOBLE PROPOSITO,5,800,4000
2017,BRICEÑO,LECHERIA ESPECIALIZADA,6,280,1680
2017,BRICEÑO,LECHERIA TRADICIONAL,4,180,720
2017,BRICEÑO,DOBLE PROPOSITO,3,150,450
2017,BUENAVISTA,LECHERIA ESPECIALIZADA,9,180,1620
2017,BUENAVISTA,LECHERIA TRADICIONAL,6,550,3300
2017,BUENAVISTA,DOBLE PROPOSITO,7,700,4900
2017,BUSBANZA,LECHERIA ESPECIALIZADA,,,0
2017,BUSBANZA,LECHERIA TRADICIONAL,,,0
2017,BUSBANZA,DOBLE PROPOSITO,4,94,376
